Longitude,Latitude,ADDRESS,SPECIES,COM_NAME,DBH,HEIGHT,CONDITION,LAND_TYPE,PARK_NAME,X,Y
-97.73690456,30.27315066,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,27,Poor,Park,Waterloo Neighborhood Park,3116131.026,10072645.33
-97.73657692,30.27391038,1201 RED RIVER ST,Ulmus americana,American Elm,22,8,Fair,Park,Waterloo Neighborhood Park,3116227.978,10072923.97
-97.73659665,30.27335967,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,34,30,Poor,Park,Waterloo Neighborhood Park,3116226.427,10072723.59
-97.73631906,30.27381596,1201 RED RIVER ST,Carya illinoinensis,Pecan,30,8,Poor,Park,Waterloo Neighborhood Park,3116310.156,10072891.54
-97.73616726,30.27359805,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,20,8,Fair,Park,Waterloo Neighborhood Park,3116359.912,10072813.43
-97.73605625,30.27328994,1201 RED RIVER ST,Ulmus americana,American Elm,24,8,Fair,Park,Waterloo Neighborhood Park,3116397.56,10072702.22
-97.73648845,30.27319048,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,27,30,Fair,Park,Waterloo Neighborhood Park,3116262.009,10072662.87
-97.73648995,30.27333063,1201 RED RIVER ST,Quercus virginiana,Southern Live Oak,27,8,Poor,Park,Waterloo Neighborhood Park,3116260.344,10072713.82
-97.73682105,30.27311879,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,19,18,Poor,Park,Waterloo Neighborhood Park,3116157.653,10072634.35
-97.73677568,30.27306578,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,33,35,Poor,Park,Waterloo Neighborhood Park,3116172.421,10072615.42
-97.7365333,30.27302805,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,36,32,Fair,Park,Waterloo Neighborhood Park,3116249.233,10072603.48
-97.73645845,30.27290503,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,29,35,Good,Park,Waterloo Neighborhood Park,3116273.899,10072559.31
-97.73614442,30.27285182,1201 RED RIVER ST,Quercus fusiformis,Escarpment Live Oak,31,35,Fair,Park,Waterloo Neighborhood Park,3116373.453,10072542.27
-97.74530495,30.27242725,900 GUADALUPE ST,Carya illinoinensis,Pecan,24,43,Fair,Park,Wooldridge Square,3113486.093,10072320.52
-97.74534398,30.27265455,900 GUADALUPE ST,Carya illinoinensis,Pecan,25,42,Fair,Park,Wooldridge Square,3113471.852,10072402.87
-97.74519405,30.27257318,900 GUADALUPE ST,Carya illinoinensis,Pecan,33,37,Fair,Park,Wooldridge Square,3113519.856,10072374.39
-97.74565116,30.27281227,900 GUADALUPE ST,Carya illinoinensis,Pecan,30,42,Fair,Park,Wooldridge Square,3113373.575,10072457.96
-97.74577012,30.27283741,900 GUADALUPE ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Wooldridge Square,3113335.82,10072466.23
-97.74564991,30.27220111,900 GUADALUPE ST,Quercus stellata,Post Oak,25,8,Fair,Park,Wooldridge Square,3113379.138,10072235.76
-97.74577853,30.27246317,900 GUADALUPE ST,Quercus stellata,Post Oak,28,38,Fair,Park,Wooldridge Square,3113336.332,10072330.1
-97.74584015,30.27259138,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,19,36,Poor,Park,Wooldridge Square,3113315.8,10072376.26
-97.74590501,30.27268239,900 GUADALUPE ST,Quercus stellata,Post Oak,36,8,Fair,Park,Wooldridge Square,3113294.563,10072408.88
-97.74613489,30.2722192,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,20,36,Fair,Park,Wooldridge Square,3113225.93,10072238.78
-97.74600664,30.27221224,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,26,45,Fair,Park,Wooldridge Square,3113266.464,10072237.19
-97.74584463,30.27219164,900 GUADALUPE ST,Carya illinoinensis,Pecan,20,35,Fair,Park,Wooldridge Square,3113317.768,10072230.89
-97.74546978,30.2720343,900 GUADALUPE ST,Carya illinoinensis,Pecan,23,45,Poor,Park,Wooldridge Square,3113437.397,10072176.43
-97.74547882,30.2721732,900 GUADALUPE ST,Ulmus crassifolia,Cedar Elm,28,48,Fair,Park,Wooldridge Square,3113433.371,10072226.87
-97.74533196,30.27216217,900 GUADALUPE ST,Carya illinoinensis,Pecan,26,36,Fair,Park,Wooldridge Square,3113479.809,10072223.94
-97.73534668,30.27558886,1401 TRINITY ST,Carya illinoinensis,Pecan,21,55,Poor,Park,Waterloo Neighborhood Park,3116601.967,10073543.31
-97.7353573,30.27549035,1401 TRINITY ST,Carya illinoinensis,Pecan,24,60,Good,Park,Waterloo Neighborhood Park,3116599.45,10073507.42
-97.7353398,30.27540461,1401 TRINITY ST,Carya illinoinensis,Pecan,25,50,Good,Park,Waterloo Neighborhood Park,3116605.703,10073476.37
-97.73508747,30.27543797,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,23,35,Fair,Park,Waterloo Neighborhood Park,3116685.049,10073490.36
-97.73538811,30.27499341,1401 TRINITY ST,Carya illinoinensis,Pecan,19,50,Good,Park,Waterloo Neighborhood Park,3116593.948,10073326.51
-97.73528529,30.27483003,1401 TRINITY ST,Ulmus americana,American Elm,21,40,Fair,Park,Waterloo Neighborhood Park,3116627.784,10073267.86
-97.73520745,30.2739058,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,20,28,Poor,Park,Waterloo Neighborhood Park,3116660.198,10072932.4
-97.73523805,30.27373161,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,19,25,Good,Park,Waterloo Neighborhood Park,3116652.021,10072868.84
-97.73532152,30.27354412,1401 TRINITY ST,Carya illinoinensis,Pecan,20,20,Poor,Park,Waterloo Neighborhood Park,3116627.272,10072800.05
-97.73529776,30.27351573,1401 TRINITY ST,Carya illinoinensis,Pecan,21,47,Good,Park,Waterloo Neighborhood Park,3116635.013,10072789.9
-97.73517187,30.27327491,1401 TRINITY ST,Carya illinoinensis,Pecan,21,45,Fair,Park,Waterloo Neighborhood Park,3116676.785,10072703.27
-97.7352119,30.27330764,1401 TRINITY ST,Carya illinoinensis,Pecan,22,47,Poor,Park,Waterloo Neighborhood Park,3116663.875,10072714.88
-97.7351452,30.27347511,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,23,35,Fair,Park,Waterloo Neighborhood Park,3116683.502,10072776.26
-97.7351152,30.27339103,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,20,35,Good,Park,Waterloo Neighborhood Park,3116693.685,10072745.91
-97.73528311,30.27321869,1401 TRINITY ST,Ulmus crassifolia,Cedar Elm,22,40,Good,Park,Waterloo Neighborhood Park,3116642.156,10072682.01
-97.73542953,30.27316329,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,38,45,Fair,Park,Waterloo Neighborhood Park,3116596.419,10072660.79
-97.73539736,30.27300084,1401 TRINITY ST,Quercus fusiformis,Escarpment Live Oak,37,38,Fair,Park,Waterloo Neighborhood Park,3116607.951,10072601.96
-97.73567221,30.27318916,1401 TRINITY ST,Quercus virginiana,Southern Live Oak,22,8,Fair,Park,Waterloo Neighborhood Park,3116519.614,10072668.41
-97.73556263,30.27361965,1401 TRINITY ST,Carya illinoinensis,Pecan,27,8,Good,Park,Waterloo Neighborhood Park,3116550.54,10072825.74
